state, radius, latitude, longitude
AK,204545,63.588753,-154.493062
AL,207962,32.318231,-86.902298
AR,209419,34.799999,-92.199997
AZ,207198,34.048928,-111.093731
CA,300588,36.778261,-119.417932
CO,292431,39.550051,-105.782067
CT,63200,41.603221,-73.087749
DE,210987,38.910832,-75.52767
FL,218515,27.664827,-81.515754
GA,72768,32.157435,-82.907123
HI,261191,19.898682,-155.665857
IA,214083,41.878003,-93.097702
ID,171964,44.068202,-114.742041
IL,214625,40.633125,-89.398528
IN,259722,40.551217,-85.602364
KS,150985,39.011902,-98.484246
KY,189516,37.839333,-84.270018
LA,159516,31.244823,-92.145024
MA,89770,42.407211,-71.382437
MD,80385,39.045755,-76.641271
ME,110896,45.253783,-69.445469
MI,256197,44.314844,-85.602364
MN,196663,46.729553,-94.6859
MO,238328,37.964253,-91.831833
MS,346407,32.354668,-89.398528
MT,251752,46.879682,-110.362566
NC,260874,35.759573,-79.0193
ND,85989,47.551493,-101.002012
NE,78207,41.492537,-99.901813
NH,120314,43.193852,-71.572395
NJ,167312,40.058324,-74.405661
NM,200408,34.97273,-105.032363
NV,238494,38.80261,-116.419389
NY,183744,43.299428,-74.217933
OH,237949,40.417287,-82.907123
OK,281328,35.007752,-97.092877
OR,192224,43.804133,-120.554201
PA,29197,41.203322,-77.194525
RI,170142,41.580095,-71.477429
SC,184342,33.836081,-81.163725
SD,200676,43.969515,-99.901813
TN,160269,35.517491,-86.580447
TX,87321,31.968599,-99.901813
UT,180679,39.32098,-111.093731
VA,214288,37.431573,-78.656894
VT,90917,44.558803,-72.577841
WA,171606,47.751074,-120.740139
WI,282938,43.78444,-88.787868
WV,141344,39.0000,-80.5000
WY,283950,43.07597,-107.29028